feature_id	component_id	mz
1	-1	340.87091064453125
10	4	308.90374755859375
100	1	364.26947021484375
101	1	295.22674560546875
102	1	277.2162170410156
103	-1	211.13287353515625
104	1	293.2110900878906
105	1	311.2216491699219
106	1	273.1849365234375
107	1	309.20599365234375
108	-1	275.2006530761719
109	1	295.22674560546875
11	4	219.00997924804688
110	1	277.21612548828125
111	8	274.27410888671875
112	8	274.2741394042969
113	1	291.19537353515625
114	1	273.1848449707031
115	1	293.2110900878906
116	1	311.2216796875
117	28	351.21380615234375
118	1	277.2160949707031
119	-1	167.1065673828125
12	-1	140.01031494140625
120	29	121.10114288330078
121	5	265.2161865234375
122	-1	367.1799926757813
123	37	349.16845703125
124	28	367.2088928222656
125	-1	327.2166442871094
126	3	514.3160400390625
127	21	460.2695007324219
128	21	432.238037109375
129	21	415.21136474609375
13	39	143.99026489257812
130	1	330.2638854980469
131	1	295.2266845703125
132	1	277.21612548828125
133	5	195.1379547119141
134	25	322.2740783691406
135	-1	551.3004760742188
136	1	291.19537353515625
137	-1	351.21417236328125
138	-1	219.17433166503903
139	1	277.2161560058594
14	18	373.887451171875
140	-1	353.2687683105469
141	1	293.21112060546875
142	5	279.231689453125
143	31	293.2110595703125
144	-1	333.15093994140625
145	1	243.21072387695312
146	1	261.22137451171875
147	5	179.14300537109375
148	-1	333.1746826171875
149	1	296.2301025390625
15	47	129.48988342285156
150	1	295.2266845703125
151	1	277.2160949707031
152	1	259.2055969238281
153	1	249.22129821777344
154	35	577.2587280273438
155	31	309.2060852050781
156	-1	579.2739868164062
157	-1	1016.6529541015624
158	33	1093.776123046875
159	33	994.6707763671876
16	4	162.97354125976562
160	-1	251.2369842529297
161	-1	297.24237060546875
162	-1	183.1379241943359
163	1	261.2214660644531
164	5	279.23175048828125
165	2	722.503662109375
166	2	634.4534301757812
167	2	590.42626953125
168	2	546.400146484375
169	2	502.3739929199219
17	4	273.9626159667969
170	2	644.49609375
171	2	556.4420776367188
172	-1	184.9856109619141
173	2	512.4158325195312
174	2	424.3631896972656
175	2	600.468017578125
176	2	468.3895568847656
177	2	512.416015625
178	2	556.4418334960938
179	1	431.3515930175781
18	4	301.9574890136719
180	2	468.3894653320313
181	1	481.2947692871094
182	2	526.431884765625
183	2	482.4054260253906
184	20	607.2548828125
185	5	336.3262023925781
186	25	300.2896423339844
187	1	427.3566284179687
188	1	445.3675231933594
189	5	352.3211364746094
19	4	245.96771240234375
190	2	702.5362548828125
191	2	658.5101318359375
192	-1	143.958984375
193	2	658.5104370117188
194	-1	573.451416015625
195	2	614.4840698242188
196	2	614.4841918945312
197	2	570.4576416015625
198	2	526.4314575195312
199	2	526.4313354492188
2	27	137.50302124023438
20	-1	106.99987030029295
200	2	482.4053039550781
201	1	413.3414001464844
202	12	431.3515319824219
203	38	115.96400451660156
204	8	256.26348876953125
205	-1	435.2891540527344
206	1	481.2948913574219
207	41	313.2735900878906
208	-1	625.265625
209	1	381.3515930175781
21	-1	146.00685119628906
210	1	427.3569030761719
211	12	445.3674926757813
212	2	672.5267944335938
213	2	628.5010986328125
214	2	628.4998168945312
215	2	584.4735717773438
216	2	496.4210205078125
217	2	540.4473266601562
218	2	584.4735107421875
219	2	540.4472045898438
22	4	162.97352600097656
220	36	331.2842712402344
221	-1	415.2368469238281
222	34	654.3320922851562
223	34	637.3051147460938
224	2	496.4209899902344
225	2	452.3946838378906
226	11	693.1795654296875
227	11	738.23828125
228	3	792.2849731445312
229	11	710.206787109375
23	-1	223.9435882568359
230	11	693.179443359375
231	3	793.2890014648438
232	11	710.206787109375
233	1	589.406982421875
234	20	593.2756958007812
235	1	395.3670959472656
236	1	461.36279296875
237	1	381.35162353515625
238	1	591.4253540039062
239	1	431.3518981933594
24	-1	105.03680419921876
240	13	443.3523254394531
241	30	612.44677734375
242	1	445.3675537109375
243	13	427.3567504882813
244	1	411.3621520996094
245	12	417.33642578125
246	22	512.4310913085938
247	1	674.48388671875
248	1	395.3671875
