row ID,row m/z,row retention time,20230404_LFX_OK_163_VGF137_F07_1_pos.mzML Peak area,20230404_LFX_OK_1_DMSO_blank_1_pos_TMP_ref_background.mzML Peak area
1,340.87091064453125,0.26936666666666664,0.0,532269.3125
10,219.00997924804688,0.2877,0.0,1134735.25
100,265.143310546875,2.8468166666666668,582347.25,0.0
101,235.16921997070312,2.8749333333333333,8673247.0,0.0
102,217.15867614746094,2.8749333333333333,1733881.875,0.0
103,357.13323974609375,2.8749333333333333,942992.25,0.0
104,456.2381896972656,2.8749333333333333,888697.8125,0.0
105,293.0784606933594,2.91485,1001237.5625,0.0
106,221.15359497070312,2.924,2851054.0,0.0
107,238.17996215820312,2.924,1687800.875,0.0
108,271.0964660644531,2.924,1549972.75,0.0
109,329.1018371582031,2.96145,4084451.25,0.0
11,140.01031494140625,0.2877,0.0,1119062.375
110,158.15396118164062,2.9666,0.0,655546.6875
111,315.1226806640625,2.9899666666666667,1.0573367E7,0.0
112,297.1121826171875,2.9899666666666667,1661002.0,0.0
113,173.05966186523438,2.9899666666666667,1645256.0,0.0
114,394.0962219238281,2.9899666666666667,1075784.375,0.0
115,483.2378234863281,2.9899666666666667,898129.625,0.0
116,359.08673095703125,2.9899666666666667,576669.625,0.0
117,431.08392333984375,2.9899666666666667,384115.25,0.0
118,249.14849853515625,2.9992666666666663,4121302.5,0.0
119,231.13792419433594,2.9992666666666663,1411767.0,0.0
12,143.99026489257812,0.2877,0.0,1097929.375
120,423.1802673339844,2.9992666666666663,1160612.375,0.0
121,301.1070861816406,2.9992666666666663,945250.5,0.0
122,308.12811279296875,3.0178000000000003,942069.1875,0.0
123,287.127685546875,3.05695,2631097.75,0.0
124,215.10659790039062,3.0661833333333335,2489805.0,0.0
125,251.1641082763672,3.0753333333333335,2814914.75,0.0
126,363.10736083984375,3.0753333333333335,921581.8125,0.0
127,233.15357971191406,3.0845166666666666,6483252.5,0.0
128,205.1586151123047,3.0845166666666666,1177804.75,0.0
129,219.1742706298828,3.0845166666666666,1160284.625,0.0
13,373.887451171875,0.2877,0.0,1060683.625
130,223.1691436767578,3.0845166666666666,868366.3125,0.0
131,524.3010864257812,3.0937166666666664,835735.25,0.0
132,352.11767578125,3.140333333333333,1336172.25,0.0
133,351.08404541015625,3.140333333333333,757177.6875,0.0
134,357.1332702636719,3.1496166666666667,2411167.25,0.0
135,379.11529541015625,3.1496166666666667,1259194.875,0.0
136,456.2381286621094,3.1496166666666667,801126.8125,0.0
137,248.16439819335938,3.17765,1287005.125,0.0
