rank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
22	C18H34O5	[M - H]-	C18H34O5	0.9999999999999999	57.956726521250204	54.04641181874126	3.9103147025089386	22	0.7687694989265914	0.4188324031167395	0.4724923199291964	0.06130609594459089		329.23337	182.06	94_20230404_LFX_OK_260_VGF136_F09_1_neg_94
22	C18H36O6	[M - H2O - H]-	C18H34O5	0.9999999999999999	57.956726521250204	54.04641181874126	3.9103147025089386	23	0.7687694989265914	0.4188324031167395	0.4724923199291964	-54704.49308882982		329.23337	182.06	94_20230404_LFX_OK_260_VGF136_F09_1_neg_94
22	C18H38O7	[M - H4O2 - H]-	C18H34O5	0.9999999999999999	57.956726521250204	54.04641181874126	3.9103147025089386	23	0.7687694989265914	0.4188324031167395	0.4724923199291964	-109409.04748375577		329.23337	182.06	94_20230404_LFX_OK_260_VGF136_F09_1_neg_94
23	C18H32O5	[M - H2O - H]-	C18H30O4	0.9999999999999999	56.36959118478243	52.50048694753578	3.8691042372466513	13	0.4922607667618515	0.09027255599660089	0.6568317571375714	-58247.6066719372		309.20712	180.463	92_20230404_LFX_OK_260_VGF136_F09_1_neg_92
23	C18H34O6	[M - H4O2 - H]-	C18H30O4	0.9999999999999999	56.36959118478243	52.50048694753578	3.8691042372466513	13	0.4922607667618515	0.09027255599660089	0.6568317571375714	-116495.18040422241		309.20712	180.463	92_20230404_LFX_OK_260_VGF136_F09_1_neg_92
24	C18H38O5	[M - H2O - H]-	C18H36O4	0.9999999999999999	55.603481279502205	47.308617604015645	8.29486367548656	12	0.752602362991867	-0.1925472110710259	0.5987972124665288	-57130.70237895533		315.25397	247.104	137_20230404_LFX_OK_260_VGF136_F09_1_neg_137
24	C18H40O6	[M - H4O2 - H]-	C18H36O4	0.9999999999999999	55.603481279502205	47.308617604015645	8.29486367548656	12	0.752602362991867	-0.1925472110710259	0.5987972124665288	-114261.03713445389		315.25397	247.104	137_20230404_LFX_OK_260_VGF136_F09_1_neg_137
25	C30H26O12	[M - H]-	C30H26O12	0.9999999999999999	55.49430122541064	48.77606870834843	6.718232517062206	9	0.5451452173726364	0.3707748364094471	0.3988687436423198	-0.665693582006564		577.13477	52.066	16_20230404_LFX_OK_260_VGF136_F09_1_neg_16
25	C30H30O14	[M - H4O2 - H]-	C30H26O12	0.9999999999999999	55.49430122541064	48.77606870834843	6.718232517062206	10	0.5451452173726364	0.3707748364094471	0.3988687436423198	-62414.38864612563		577.13477	52.066	16_20230404_LFX_OK_260_VGF136_F09_1_neg_16
25	C30H28O13	[M - H2O - H]-	C30H26O12	0.9999999999999999	55.49430122541064	48.77606870834843	6.718232517062206	10	0.5451452173726364	0.3707748364094471	0.3988687436423198	-31207.527169853816		577.13477	52.066	16_20230404_LFX_OK_260_VGF136_F09_1_neg_16
26	C14H35NO6P	[M - H2O - H]-	C14H33NO5P	0.9999999999999999	55.446134576965235	53.91809716753386	1.528037409431378	12	0.6398684703495334	-0.341704019910711	0.5612853273675158	-55381.735157134004		325.20264	224.334	123_20230404_LFX_OK_260_VGF136_F09_1_neg_123
26	C14H37NO7P	[M - H4O2 - H]-	C14H33NO5P	0.9999999999999999	55.446134576965235	53.91809716753386	1.528037409431378	12	0.6398684703495334	-0.341704019910711	0.5612853273675158	-110764.32634927223		325.20264	224.334	123_20230404_LFX_OK_260_VGF136_F09_1_neg_123
27	C37H48O17	[M - H2O - H]-	C37H46O16	0.9999999999999999	54.182072161849085	54.182072161849085	0.0	14	0.8240551137814649	0.6776125720322614	0.6776125720322614	-24165.96112438777		745.27167	118.128	53_20230404_LFX_OK_260_VGF136_F09_1_neg_53
27	C37H50O18	[M - H4O2 - H]-	C37H46O16	0.9999999999999999	54.182072161849085	54.182072161849085	0.0	14	0.8240551137814649	0.6776125720322614	0.6776125720322614	-48332.403335840776		745.27167	118.128	53_20230404_LFX_OK_260_VGF136_F09_1_neg_53
28	C9H14O3	[M - H]-	C9H14O3	0.9999999999999999	53.71902287562804	50.39062607987775	3.3283967957502902	10	0.9924575601668527	-0.005034501829807955	0.41722093359199963	-0.16263500856294447		169.08699	163.866	82_20230404_LFX_OK_260_VGF136_F09_1_neg_82
29	C18H32O3	[M - H]-	C18H32O3	0.9999999999999999	51.38664256630035	47.70567015671166	3.6809724095886907	12	0.9020290552943642	0.9285918500995608	1.0301826926098137	-0.4954275282961587		295.22772	271.83	152_20230404_LFX_OK_260_VGF136_F09_1_neg_152
30	C18H34O6	[M - H2O - H]-	C18H32O5	0.9999999999999999	50.34106437170536	46.53920789691462	3.801856474790742	10	0.5020863478295804	-0.3116304856639431	0.4424101493737821	-55041.58689531491		327.21768	216.188	121_20230404_LFX_OK_260_VGF136_F09_1_neg_121
30	C18H36O7	[M - H4O2 - H]-	C18H32O5	0.9999999999999999	50.34106437170536	46.53920789691462	3.801856474790742	10	0.5020863478295804	-0.3116304856639431	0.4424101493737821	-110083.12554401987		327.21768	216.188	121_20230404_LFX_OK_260_VGF136_F09_1_neg_121
31	C15H10O5	[M - H]-	C15H10O5	0.9999999999999999	49.95098833954305	46.23389879268115	3.7170895468619016	13	0.38940415796679256	0.7361170285335332	0.7361170285335332	-0.395078545295869		269.04544	143.044	75_20230404_LFX_OK_260_VGF136_F09_1_neg_75
31	C15H12O6	[M - H2O - H]-	C15H10O5	0.9999999999999999	49.95098833954305	46.23389879268115	3.7170895468619016	14	0.38940415796679256	0.7361170285335332	0.7361170285335332	-66942.85891994048		269.04544	143.044	75_20230404_LFX_OK_260_VGF136_F09_1_neg_75
31	C15H14O7	[M - H4O2 - H]-	C15H10O5	0.9999999999999999	49.95098833954305	46.23389879268115	3.7170895468619016	14	0.38940415796679256	0.7361170285335332	0.7361170285335332	-133885.32276133588		269.04544	143.044	75_20230404_LFX_OK_260_VGF136_F09_1_neg_75
32	C15H20O8	[M - H]-	C15H20O8	0.9999999999999999	49.78786468175846	43.65172186650608	6.136142815252376	18	0.7340292844436583	1.0563747635858418	1.0563747635858418	-0.7161638482475408		327.10831	47.51	14_20230404_LFX_OK_260_VGF136_F09_1_neg_14
33	C9H16O4	[M - H]-	C9H16O4	0.9999999999999999	48.89222162205051	43.49354228763543	5.398679334415084	6	0.9595071381426946	0.8628310606305323	0.8913302746608762	-0.910918716330412		187.09741	107.105	46_20230404_LFX_OK_260_VGF136_F09_1_neg_46
34	C18H32O3	[M - H]-	C18H32O3	0.9999999999999999	48.74535435070301	43.42890387595267	5.31645047475034	11	0.6229401973020204	0.17391405090726747	0.5342747657741158	-0.3920578654963568		295.22775	299.607	178_20230404_LFX_OK_260_VGF136_F09_1_neg_178
35	C18H32O5	[M - H]-	C18H32O5	0.9999999999999999	47.6533110446387	43.72793188288955	3.9253791617491487	10	0.5083346089745413	-0.1532797203405523	0.36871152648182737	-0.14151046479506613		327.21765	247.951	138_20230404_LFX_OK_260_VGF136_F09_1_neg_138
35	C17H30O3	[M + CH2O2 - H]-	C18H32O5	0.9999999999999999	47.6533110446387	43.72793188288955	3.9253791617491487	8	0.4327580267516997	-0.22895639663110734	0.4901617852311201	-0.14151046479506613		327.21765	247.951	138_20230404_LFX_OK_260_VGF136_F09_1_neg_138
36	C27H50O5	[M + CH2O2 - H]-	C28H52O7	0.9999999999999999	47.53737214616589	43.7072134351917	3.830158710974196	9	0.9529436583802429	0.5058159106392421	0.7201864818971594	-0.3333599766188548		499.36386	385.894	213_20230404_LFX_OK_260_VGF136_F09_1_neg_213
36	C28H52O7	[M - H]-	C28H52O7	0.9999999999999999	47.53737214616589	43.7072134351917	3.830158710974196	9	0.9529436583802428	0.5058159106392421	0.7201864818971594	-0.3333599766188548		499.36386	385.894	213_20230404_LFX_OK_260_VGF136_F09_1_neg_213
37	C16H28O3	[M - H]-	C16H28O3	0.9999999999999999	47.169252338205226	43.37106616672655	3.798186171478676	9	0.6670508454623109	0.5649040917152831	1.1282623530879325	-0.2455809185210997		267.19650	267.494	147_20230404_LFX_OK_260_VGF136_F09_1_neg_147
38	C36H36N2O8	[M - H]-	C36H36N2O8	0.9999999999999999	45.159593827933605	36.02181356696474	9.137780260968865	10	0.7764122241090912	0.6350909577520729	0.6350909577520729	-0.034490487542163675		623.23987	168.064	84_20230404_LFX_OK_260_VGF136_F09_1_neg_84
39	C30H36O9	[M + CH2O2 - H]-	C31H38O11	0.9999999999999999	45.10323794759226	38.43806994270489	6.665168004887371	8	0.6620223395476675	1.0366519110578425	1.0366519110578425	0.6176778794097921		585.23450	130.672	66_20230404_LFX_OK_260_VGF136_F09_1_neg_66
39	C31H38O11	[M - H]-	C31H38O11	0.9999999999999999	45.10323794759226	38.43806994270489	6.665168004887371	8	0.6620223395476675	1.0366519110578425	1.0366519110578425	0.6176778794097921		585.23450	130.672	66_20230404_LFX_OK_260_VGF136_F09_1_neg_66
39	C31H40O12	[M - H2O - H]-	C31H38O11	0.9999999999999999	45.10323794759226	38.43806994270489	6.665168004887371	9	0.6620223395476675	1.0366519110578425	1.0366519110578425	-30774.336249411226		585.23450	130.672	66_20230404_LFX_OK_260_VGF136_F09_1_neg_66
39	C31H42O13	[M - H4O2 - H]-	C31H38O11	0.9999999999999999	45.10323794759226	38.43806994270489	6.665168004887371	9	0.6620223395476675	1.0366519110578425	1.0366519110578425	-61549.29017670205		585.23450	130.672	66_20230404_LFX_OK_260_VGF136_F09_1_neg_66
40	C15H20O8	[M - H]-	C15H20O8	0.9999999999999999	44.86641706338352	37.07393989072752	7.792477172656001	7	0.6140541932135376	-0.5295736966433661	0.7493401180865731	-0.5295736966433661		327.10837	35.057	12_20230404_LFX_OK_260_VGF136_F09_1_neg_12
41	C18H32O4	[M - H]-	C18H32O4	0.9999999999999999	44.11688926023082	40.35193451041863	3.7649547498121927	9	0.6343458644347699	0.1985801389684366	0.3796057303855454	-0.6035457212864153		311.22260	200.459	108_20230404_LFX_OK_260_VGF136_F09_1_neg_108
42	C8H14O4	[M - H]-	C8H14O4	0.9999999999999999	44.10988684883038	40.97453358310372	3.1353532657266574	5	0.9552650288906797	1.1386861458644324	1.1386861458644324	-0.04643715935080828		173.08192	84.828	35_20230404_LFX_OK_260_VGF136_F09_1_neg_35
43	C27H50O7	[M - H]-	C27H50O7	0.9999999999999999	43.20146675577318	39.28320431970958	3.9182624360636025	7	0.922073962238186	0.0974725373819233	0.10844496683669058	0.27455380024756104		485.34851	378.803	206_20230404_LFX_OK_260_VGF136_F09_1_neg_206
44	C18H40O6	[M - H4O2 - H]-	C18H36O4	0.9999999999999999	42.7527629963306	34.84396379314671	7.908799203183891	6	0.39683081921377605	0.25682030904579917	0.36887020743139526	-114261.36072649386		315.25388	254.159	142_20230404_LFX_OK_260_VGF136_F09_1_neg_142
44	C18H38O5	[M - H2O - H]-	C18H36O4	0.9999999999999999	42.7527629963306	34.84396379314671	7.908799203183891	6	0.39683081921377605	0.25682030904579917	0.36887020743139526	-57131.00937980082		315.25388	254.159	142_20230404_LFX_OK_260_VGF136_F09_1_neg_142
45	C18H28O6	[M + CH2O2 - H]-	C19H30O8	0.9999999999999999	42.16228703615004	38.27512495575196	3.8871620803980775	9	0.7211865266057206	0.5434736150478181	0.5830448030164513	0.0964346885072384		385.18683	135.517	71_20230404_LFX_OK_260_VGF136_F09_1_neg_71
45	C19H30O8	[M - H]-	C19H30O8	0.9999999999999999	42.16228703615004	38.27512495575196	3.8871620803980775	9	0.7211865266057206	0.5434736150478181	0.5830448030164513	0.0964346885072384		385.18683	135.517	71_20230404_LFX_OK_260_VGF136_F09_1_neg_71
46	C17H28O5	[M - H2O - H]-	C17H26O4	0.9999999999999999	41.62462136252122	37.7965231169921	3.8280982455291204	8	0.9421233993488717	-0.04471256599809103	0.3061972394804281	-61433.04539634857		293.17572	204.723	111_20230404_LFX_OK_260_VGF136_F09_1_neg_111
46	C17H30O6	[M - H4O2 - H]-	C17H26O4	0.9999999999999999	41.62462136252122	37.7965231169921	3.8280982455291204	8	0.9421233993488717	-0.04471256599809103	0.3061972394804281	-122865.70656897778		293.17572	204.723	111_20230404_LFX_OK_260_VGF136_F09_1_neg_111
47	C40H60O11	[M - H4O2 - H]-	C40H56O9	0.9999999999999999	39.29558262886325	33.43965214834477	5.855930480518479	12	0.7373523288050993	-0.03692157908962106	0.4122167413170831	-53020.227797199674		679.38513	246.378	136_20230404_LFX_OK_260_VGF136_F09_1_neg_136
47	C40H58O10	[M - H2O - H]-	C40H56O9	0.9999999999999999	39.29558262886325	33.43965214834477	5.855930480518479	12	0.7373523288050993	-0.03692157908962106	0.4122167413170831	-26510.132359389467		679.38513	246.378	136_20230404_LFX_OK_260_VGF136_F09_1_neg_136
48	C17H7NO5	[M - H]-	C17H7NO5	0.9999999999999999	39.01067573710149	37.463283528977186	1.5473922081242981	7	0.6985130727487744	0.04227077541114819	0.2539233202624334	-0.6002566406593198		304.02496	106.385	42_20230404_LFX_OK_260_VGF136_F09_1_neg_42
49	C21H36O11	[M + CH2O2 - H]-	C22H38O13	0.9999999999999999	38.8073333771867	35.000871268574436	3.8064621086122625	9	0.24337546038575916	-0.22755209829549444	1.0855473397913282	-0.05269907049332962		509.22394	101.074	41_20230404_LFX_OK_260_VGF136_F09_1_neg_41
50	C12H18O4	[M - H]-	C12H18O4	0.9999999999999999	37.32452492105125	33.79096556415692	3.533559356894326	9	0.7773443900025685	-0.11481427627184701	0.4748363649491025	0.08053063224658598		225.11325	136.664	73_20230404_LFX_OK_260_VGF136_F09_1_neg_73
51	C26H36O12	[M + CH2O2 - H]-	C27H38O14	0.9999999999999999	35.78791568866845	29.17741430201881	6.610501386649639	6	0.8547972338486446	0.5843641037601761	0.5843641037601761	0.0916948450259545		585.21893	72.936	29_20230404_LFX_OK_260_VGF136_F09_1_neg_29
51	C27H38O14	[M - H]-	C27H38O14	0.9999999999999999	35.78791568866845	29.17741430201881	6.610501386649639	6	0.8547972338486446	0.5843641037601761	0.5843641037601761	0.0916948450259545		585.21893	72.936	29_20230404_LFX_OK_260_VGF136_F09_1_neg_29
