row ID,row m/z,row retention time,20230404_LFX_OK_164_VGF137_F08_1_pos.mzML Peak area,20230404_LFX_OK_1_DMSO_blank_1_pos_TMP_ref_background.mzML Peak area
1,340.87091064453125,0.26936666666666664,0.0,532269.3125
10,308.90374755859375,0.2877,0.0,1270881.25
100,364.26947021484375,3.00835,434249.15625,0.0
101,295.22674560546875,3.0158,951710.8125,0.0
102,277.2162170410156,3.0229166666666667,1147833.0,0.0
103,211.13287353515625,3.053816666666667,793928.125,0.0
104,293.2110900878906,3.0957500000000002,979955.75,0.0
105,311.2216491699219,3.1118333333333337,972206.625,0.0
106,273.1849365234375,3.144433333333333,367129.0625,0.0
107,309.20599365234375,3.27155,520644.78125,0.0
108,275.2006530761719,3.3051166666666663,477270.21875,0.0
109,295.22674560546875,3.34165,825502.5,0.0
11,219.00997924804688,0.2877,0.0,1134735.25
110,277.21612548828125,3.34445,2169015.25,0.0
111,274.27410888671875,3.346616666666667,0.0,636411.25
112,274.2741394042969,3.3543166666666666,984838.875,0.0
113,291.19537353515625,3.391833333333333,1044704.5,0.0
114,273.1848449707031,3.391833333333333,261432.1875,0.0
115,293.2110900878906,3.5849333333333333,1.2509407E7,0.0
116,311.2216796875,3.5849333333333333,2101038.25,0.0
117,351.21380615234375,3.6027,5830641.0,0.0
118,277.2160949707031,3.6027,5825001.5,0.0
119,167.1065673828125,3.6027,1035376.5625,0.0
12,140.01031494140625,0.2877,0.0,1119062.375
120,121.10114288330078,3.6027,883694.1875,0.0
121,265.2161865234375,3.6027,628562.8125,0.0
122,367.17999267578125,3.6027,415084.5,0.0
123,349.16845703125,3.6204666666666667,428994.3125,0.0
124,367.2088928222656,3.6933000000000002,1428712.125,0.0
125,327.2166442871094,3.794366666666667,1185899.25,0.0
126,514.3160400390625,3.81245,3.164986E7,0.0
127,460.2695007324219,3.81245,4845646.5,0.0
128,432.238037109375,3.81245,2590947.0,0.0
129,415.21136474609375,3.8214166666666665,2.031918E7,0.0
13,143.99026489257812,0.2877,0.0,1097929.375
130,330.2638854980469,3.8741833333333333,1554666.75,0.0
131,295.2266845703125,3.884533333333333,7293998.5,0.0
132,277.21612548828125,3.884533333333333,5535552.5,0.0
133,195.13795471191406,3.884533333333333,1207980.5,0.0
134,322.2740783691406,3.902816666666667,502267.21875,0.0
135,551.3004760742188,4.041433333333333,597061.375,0.0
136,291.19537353515625,4.078633333333333,1350162.75,0.0
137,351.21417236328125,4.137833333333334,460784.46875,0.0
138,219.17433166503906,4.166166666666666,1070468.875,0.0
139,277.2161560058594,4.19025,1243236.625,0.0
14,373.887451171875,0.2877,0.0,1060683.625
140,353.2687683105469,4.236066666666667,670506.4375,0.0
141,293.21112060546875,4.252233333333333,2171726.25,0.0
142,279.231689453125,4.52525,2.5056852E7,0.0
143,293.2110595703125,4.52525,1882842.5,0.0
144,333.15093994140625,4.52525,500715.09375,0.0
145,243.21072387695312,4.534366666666667,424352.625,0.0
146,261.22137451171875,4.543483333333333,796396.3125,0.0
